,index_column,index_column,index_column,level_0,index_column,key_name,year,Weighted Inversions,Number Inversions,Top 1,Top 8,Mean,Standard Deviation,Seeded Status
84,84,84,84,84,84,Simple Knockout ,2016,72.95651439668565,20.765,8.152,8.686,1.2624862145743085,0.7,Unseeded
85,85,85,85,85,85,Simple Knockout ,2017,76.33841455280312,20.653,8.536,9.595777777777778,1.622285424007997,0.56,Unseeded
86,86,86,86,86,86,Simple Knockout ,2018,84.17753404319674,21.477,8.63,9.672,1.6362645536500766,0.48,Unseeded
87,87,87,87,87,87,Simple Knockout ,2019,77.48665142518423,20.53,8.71,9.832666666666666,1.68156681697346,0.48,Unseeded
88,88,88,88,88,88,Swiss ,2012,53.79794820732015,18.444,5.211,8.1505,0.7819009368541097,0.48,Seeded
89,89,89,89,89,89,Swiss ,2013,56.847997332734,18.962,5.289,7.87425,1.1294018890318704,0.52,Seeded
90,90,90,90,90,90,Swiss ,2014,47.65880670053552,18.079,6.439,7.579,1.3634574641179733,0.6,Seeded
91,91,91,91,91,91,Swiss ,2015,53.24847822077569,18.393,5.86,8.025888888888888,1.2804648955452322,0.57,Seeded
92,92,92,92,92,92,Swiss ,2016,59.92752390025284,19.432,6.58,9.057375,1.2624862145743085,0.7,Seeded
93,93,93,93,93,93,Swiss ,2017,54.23408407151248,18.147,7.026,9.354222222222223,1.622285424007997,0.56,Seeded
94,94,94,94,94,94,Swiss ,2018,60.27070700061862,18.96,5.661,8.523125,1.6362645536500766,0.48,Seeded
95,95,95,95,95,95,Swiss ,2019,51.62872134246396,18.148,6.38,8.676333333333334,1.68156681697346,0.48,Seeded
96,96,96,96,96,96,Swiss ,2012,61.94776601093026,18.553,6.006,9.00475,0.7819009368541097,0.48,Unseeded
97,97,97,97,97,97,Swiss ,2013,55.5390235901686,17.945,5.642,8.830125,1.1294018890318704,0.52,Unseeded
98,98,98,98,98,98,Swiss ,2014,55.88651211760943,18.133,6.573,8.736888888888888,1.3634574641179733,0.6,Unseeded
99,99,99,99,99,99,Swiss ,2015,59.16882942369751,18.675,5.763,8.374125,1.2804648955452322,0.57,Unseeded
100,100,100,100,100,100,Swiss ,2016,49.412237595497075,17.696,6.98,8.143777777777778,1.2624862145743085,0.7,Unseeded
101,101,101,101,101,101,Swiss ,2017,53.93604663132753,17.953,7.698,9.577,1.622285424007997,0.56,Unseeded
102,102,102,102,102,102,Swiss ,2018,62.91480488041269,19.197,7.476,9.707,1.6362645536500766,0.48,Unseeded
103,103,103,103,103,103,Swiss ,2019,56.21426633653047,17.995,7.97,9.998777777777777,1.68156681697346,0.48,Unseeded
104,104,104,104,104,104,Triple Knockout ,2012,71.96866494377386,25.689,4.082,6.906732142857143,0.7819009368541097,0.48,Seeded
105,105,105,105,105,105,Triple Knockout ,2013,76.93720334408536,26.864,4.016,6.759607142857143,1.1294018890318704,0.52,Seeded
106,106,106,106,106,106,Triple Knockout ,2014,65.56100097673325,25.195,4.701,6.556638888888889,1.3634574641179733,0.6,Seeded
107,107,107,107,107,107,Triple Knockout ,2015,72.09773729094869,25.847,4.519,7.122777777777777,1.2804648955452322,0.57,Seeded
108,108,108,108,108,108,Triple Knockout ,2016,80.7144060047363,26.292,5.183,7.749803571428571,1.2624862145743085,0.7,Seeded
109,109,109,109,109,109,Triple Knockout ,2017,73.759387081066,24.359,5.419,8.144375,1.622285424007997,0.56,Seeded
110,110,110,110,110,110,Triple Knockout ,2018,79.9537269211621,26.304,4.274,7.345821428571428,1.6362645536500766,0.48,Seeded
111,111,111,111,111,111,Triple Knockout ,2019,69.96975077021712,24.454,5.073,7.410138888888889,1.68156681697346,0.48,Seeded
112,112,112,112,112,112,Triple Knockout ,2012,73.5733076468636,21.199,6.082,8.5665,0.7819009368541097,0.48,Unseeded
113,113,113,113,113,113,Triple Knockout ,2013,67.67325808742123,20.849,5.867,8.269375,1.1294018890318704,0.52,Unseeded
114,114,114,114,114,114,Triple Knockout ,2014,69.2122594527847,21.183,6.384,8.396222222222223,1.3634574641179733,0.6,Unseeded
115,115,115,115,115,115,Triple Knockout ,2015,71.82478951916421,21.342,6.078,8.104125,1.2804648955452322,0.57,Unseeded
116,116,116,116,116,116,Triple Knockout ,2016,63.09138626028986,20.519,6.715,8.122555555555556,1.2624862145743085,0.7,Unseeded
117,117,117,117,117,117,Triple Knockout ,2017,67.42130671644719,20.601,7.718,9.062,1.622285424007997,0.56,Unseeded
118,118,118,118,118,118,Triple Knockout ,2018,76.03569418315391,21.446,7.566,9.341,1.6362645536500766,0.48,Unseeded
119,119,119,119,119,119,Triple Knockout ,2019,69.00551478025751,20.44,7.817,9.438555555555554,1.68156681697346,0.48,Unseeded
